case,subset,count_points,reviewer_grid_targets,drift_target_D,drift_grid_D,p95_abs_delta_base,p95_abs_delta_parent,p95_abs_delta_cf,max_abs_delta_base,max_abs_delta_parent,max_abs_delta_cf,mean_abs_improvement_vs_parent,median_abs_improvement_vs_parent,acceptance_flip_fraction_vs_base,best_point_D,best_point_eta,best_point_improvement_vs_parent,worst_point_D,worst_point_eta,worst_point_improvement_vs_parent
D60E21_monitor,all_points,1260,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,9.02385403940191,6.278141668421017,6.278141668421017,31.28639526077564,18.59026540670793,18.59026540670793,-3.8531719970029654e-05,0.0,0.1,4.0,0.2,0.0,7.254237288135593,4.0,-0.002311694249028662
D60E21_monitor,reviewer_targets,105,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,31.28593012120719,18.575780513798115,18.575780513798115,31.28639526077564,18.59026540670793,18.59026540670793,0.0,0.0,0.0,4.813559322033898,0.2,0.0,4.813559322033898,0.2,0.0
D60E21_monitor,nonreviewer_complement,1155,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,2.920957855314017,2.920965152119379,2.920965152119379,6.145360294533631,6.14536029348217,6.14536029348217,-4.203460360366871e-05,0.0,0.10909090909090909,4.0,0.2,0.0,7.254237288135593,4.0,-0.002311694249028662
D60E21_monitor,drift_strip,21,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.294200553412129,1.202815230757238,1.205126924785977,1.2942005946140478,1.2028152632507085,1.2051269574997372,-0.00231169204608696,-0.0023116920460957147,0.0,7.254237288135593,0.2,-0.0023116898430739496,7.254237288135593,4.0,-0.002311694249028662
D60E21_monitor,drift_band,63,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.2942004668665141,2.765359708253649,2.765359708253649,1.2942005946140478,2.7653608060504506,2.7653608060504506,-0.0007705640153623199,0.0,0.6666666666666666,6.983050847457627,0.2,0.0,7.254237288135593,4.0,-0.002311694249028662
D60E41_monitor,all_points,2460,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,9.023854039401614,6.278141668420413,6.278141668420413,31.28639526077564,18.59026540670793,18.59026540670793,-3.8531719970015586e-05,0.0,0.1,4.0,0.2,0.0,7.254237288135593,4.0,-0.002311694249028662
D60E41_monitor,reviewer_targets,205,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,31.285939065690624,18.576058990804245,18.576058990804245,31.28639526077564,18.59026540670793,18.59026540670793,0.0,0.0,0.0,4.813559322033898,0.2,0.0,4.813559322033898,0.2,0.0
D60E41_monitor,nonreviewer_complement,2255,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,2.9245748952293935,2.924582190745037,2.924582190745037,6.145360294533631,6.14536029348217,6.14536029348217,-4.203460360365337e-05,0.0,0.10909090909090909,4.0,0.2,0.0,7.254237288135593,4.0,-0.002311694249028662
D60E41_monitor,drift_strip,41,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.294200553412129,1.202815230757238,1.205126924785977,1.2942005946140478,1.2028152632507085,1.2051269574997372,-0.0023116920460860965,-0.0023116920460957147,0.0,7.254237288135593,0.2,-0.0023116898430739496,7.254237288135593,4.0,-0.002311694249028662
D60E41_monitor,drift_band,123,4.813559|5.627119|6.169492|6.440678|6.711864,7.254237288135593,7.254237288135593,1.294200468926678,2.7653597259611273,2.7653597259611273,1.2942005946140478,2.7653608060504506,2.7653608060504506,-0.0007705640153620321,0.0,0.6666666666666666,6.983050847457627,0.2,0.0,7.254237288135593,4.0,-0.002311694249028662
